id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27579562,N.Lamar: Spot in Super Great Community,8167447,Martin,,78751,30.31987,-97.72916,Shared room,19,30,11,2023-01-13,0.20,80,309,3,
27752245,Comfy couch minutes from downtown,17819674,Michelle,,78741,30.23123,-97.71263,Shared room,18,2,3,2018-09-30,0.05,1,0,0,
27902782,N.Lamar: Economic Spot in Community,8167447,Martin,,78756,30.31862,-97.73092,Shared room,19,30,8,2023-02-22,0.15,80,83,2,
27903000,N.Lamar: Shared Spot in Community,8167447,Martin,,78756,30.3202,-97.73103,Shared room,27,30,3,2022-12-29,0.06,80,167,1,
27903125,N.Lamar: Economic Spot in Great Communtiy,8167447,Martin,,78756,30.32035,-97.73076,Shared room,17,30,7,2022-10-04,0.14,80,95,2,
27903307,N.Lamar: Shared Room Spot in Great Community,8167447,Martin,,78756,30.31843,-97.73117,Shared room,27,30,2,2022-03-31,0.04,80,102,1,
32851316,Convenient downtown area room for SXSW,89466712,Craig,,78705,30.2897,-97.74202,Shared room,290,3,0,,,2,0,0,
32888615,Cove with strategy!,247430576,Susana,,78758,30.37348,-97.71804,Shared room,280,2,0,,,1,0,0,
33452080,N.Lamar. Economic Spot in Great Community,8167447,Martin,,78751,30.31866,-97.72901,Shared room,19,30,9,2022-12-31,0.21,80,99,2,
36934799,ACL ZILKER NEIGHBORHOOD! 1 B/B APARTMENT,277628320,Daniel,,78704,30.24778,-97.7831,Shared room,350,1,0,,,1,0,0,
37048493,New Modern Apartment,125839353,Brandi,,78753,30.3907,-97.64748,Shared room,15,1,5,2019-11-14,0.12,1,0,0,
37156373,West Campus~Cute small Minimalist~Efficient Deal!!,104014000,Rebecca,,78705,30.28406,-97.74768,Shared room,32,1,40,2020-03-13,0.92,1,0,0,
37291791,N.Lamar: Economic Spot 2,8167447,Martin,,78751,30.30458,-97.72584,Shared room,19,30,6,2022-06-17,0.14,80,220,1,
37292336,N.Lamar: Economic Spot in Great Community,8167447,Martin,,78751,30.30609,-97.72453,Shared room,19,30,4,2021-08-16,0.10,80,216,0,
37449553,N.Lamar: Economic Spot in Amazing Community,8167447,Martin,,78751,30.30463,-97.72584,Shared room,19,30,5,2022-06-01,0.13,80,89,1,
37449692,N.Lamar Economic Spot in Fantastic Community,8167447,Martin,,78751,30.30631,-97.72476,Shared room,19,30,4,2022-11-03,0.11,80,75,1,
39913412,Firehouse Hostel - Female Dorm,307543433,Fire Hotel,,78701,30.26745,-97.74005,Shared room,61,1,129,2023-03-01,3.26,4,292,61,
